phase,lon,lat,UWIND
Early,-167.5,-50,0.4969825936266109
Early,-167.5,-47.5,0.5581604978790788
Early,-167.5,-45,0.463739388617816
Early,-167.5,-42.5,0.23127063426645847
Early,-167.5,-40,0.03667588652695521
Early,-167.5,-37.5,-0.0010700231804150473
Early,-167.5,-35,0.03953839796673238
Early,-167.5,-32.5,0.05543300274607772
Early,-167.5,-30,0.05000169555919111
Early,-167.5,-27.5,0.03963679977229919
Early,-167.5,-25,-0.03565377090076485
Early,-167.5,-22.5,-0.18317055918108785
Early,-167.5,-20,-0.26524847570669624
Early,-167.5,-17.5,-0.18344617458150284
Early,-167.5,-15,-0.057192942366105434
Early,-167.5,-12.5,-0.045793877816105555
Early,-167.5,-10,-0.08842406401021692
Early,-167.5,-7.5,0.029719767900126804
Early,-167.5,-5,0.3434200378864971
Early,-167.5,-2.5,0.6454933843639087
Early,-167.5,0,0.7490963994507943
Early,-167.5,2.5,0.678246559652522
Early,-167.5,5,0.5467703436611449
Early,-167.5,7.5,0.40174157884951167
Early,-167.5,10,0.26385188543202037
Early,-167.5,12.5,0.213796684807523
Early,-167.5,15,0.3342069848190127
Early,-167.5,17.5,0.5768839831875785
Early,-167.5,20,0.7994798939435471
Early,-167.5,22.5,0.8892851040598012
Early,-167.5,25,0.8082788307602823
Early,-167.5,27.5,0.5653439000758247
Early,-167.5,30,0.2008802339990237
Early,-167.5,32.5,-0.20184932603576355
Early,-167.5,35,-0.5446924058206278
Early,-167.5,37.5,-0.7525095295112707
Early,-167.5,40,-0.7954492846466308
Early,-167.5,42.5,-0.7258846086070346
Early,-167.5,45,-0.6736425648021017
Early,-167.5,47.5,-0.7254817726611936
Early,-167.5,50,-0.7813958335532623
Early,-167.5,52.5,-0.6091321947711834
Early,-167.5,55,-0.15390537837451612
Early,-167.5,57.5,0.31105472246621263
Early,-167.5,60,0.4854960385523803
Early,-167.5,62.5,0.41033858269642376
Early,-167.5,65,0.38840811920914
Early,-167.5,67.5,0.5346742969819325
Early,-167.5,70,0.6286979361828421
Early,-167.5,72.5,0.48028228139359763
Early,-167.5,75,0.2372578473811074
Early,-167.5,77.5,0.16155276995503035
Early,-167.5,80,0.24195623062315566
Early,-167.5,82.5,0.21453722187005622
Early,-167.5,85,-0.026795782277942003
Early,-167.5,87.5,-0.265152441824918
Early,-167.5,90,-0.2778028543499159
Early,-165,-90,-0.14368721225657943
Early,-165,-87.5,-0.5051365953186191
Early,-165,-85,-0.3158491024824605
Early,-165,-82.5,0.33866343131666043
Early,-165,-80,0.6649963870491761
Early,-165,-77.5,0.10256797392876633
Early,-165,-75,-0.913825567747685
Early,-165,-72.5,-1.4689201476496085
Early,-165,-70,-1.2758515075393424
Early,-165,-67.5,-0.8799211497430559
Early,-165,-65,-0.7997018439054954
Early,-165,-62.5,-0.9001756724392342
Early,-165,-60,-0.7737658055399999
Early,-165,-57.5,-0.3607195739032977
Early,-165,-55,0.0706656520015236
Early,-165,-52.5,0.3618656091711072
Early,-165,-50,0.5368853001210147
Early,-165,-47.5,0.5869393499297052
Early,-165,-45,0.44752132479852985
Early,-165,-42.5,0.21433057736732677
Early,-165,-40,0.09029636347903817
Early,-165,-37.5,0.10904839577329964
Early,-165,-35,0.11408904969396105
Early,-165,-32.5,0.03682384294906571
Early,-165,-30,-0.03458609809560651
Early,-165,-27.5,-0.06871272200849081
Early,-165,-25,-0.16234107775381149
Early,-165,-22.5,-0.3074930349497547
Early,-165,-20,-0.3245189820842513
Early,-165,-17.5,-0.1462015759995403
Early,-165,-15,0.016056407372324832
Early,-165,-12.5,-0.01399735682084009
Early,-165,-10,-0.08907952299701472
Early,-165,-7.5,0.05566740260212781
Early,-165,-5,0.3933114398911513
Early,-165,-2.5,0.641405547235601
Early,-165,0,0.6593849769964899
Early,-165,2.5,0.5739308776239979
Early,-165,5,0.5100235029843849
Early,-165,7.5,0.42644996146927583
Early,-165,10,0.27648065292706975
Early,-165,12.5,0.17920966836442004
Early,-165,15,0.2821084110428624
Early,-165,17.5,0.5588704168883449
Early,-165,20,0.8257218609965847
Early,-165,22.5,0.9196354405433872
Early,-165,25,0.7896766131156722
Early,-165,27.5,0.4958553413630175
Early,-165,30,0.14391441647323958
