phase,lon,lat,UWIND
Early,-167.5,42.5,0.8697734230373135
Early,-167.5,45,0.6676702208344064
Early,-167.5,47.5,0.5868270321402099
Early,-167.5,50,0.6982488632713914
Early,-167.5,52.5,0.6968981556780829
Early,-167.5,55,0.33277025140790395
Early,-167.5,57.5,-0.18660975359003923
Early,-167.5,60,-0.47098279728623654
Early,-167.5,62.5,-0.4695692159697225
Early,-167.5,65,-0.4566675757283188
Early,-167.5,67.5,-0.5107293709435732
Early,-167.5,70,-0.36162110161591
Early,-167.5,72.5,0.12987845735679665
Early,-167.5,75,0.6357424113448173
Early,-167.5,77.5,0.7256354644060451
Early,-167.5,80,0.4186062161624917
Early,-167.5,82.5,0.13153127026151515
Early,-167.5,85,0.10951690395420527
Early,-167.5,87.5,0.164102497223283
Early,-167.5,90,0.028907699725421274
Early,-165,-90,0.7827262250569519
Early,-165,-87.5,1.0409327175733556
Early,-165,-85,0.8335211946053208
Early,-165,-82.5,0.14521397386383347
Early,-165,-80,-0.5411601398994019
Early,-165,-77.5,-0.5561879300042312
Early,-165,-75,0.21611084180328385
Early,-165,-72.5,1.1429784712052182
Early,-165,-70,1.5068171590615183
Early,-165,-67.5,1.2251992895139778
Early,-165,-65,0.7421230666278743
Early,-165,-62.5,0.3678290750152844
Early,-165,-60,-0.008798618774996525
Early,-165,-57.5,-0.5761085436374382
Early,-165,-55,-1.213629216441756
Early,-165,-52.5,-1.5730555379776707
Early,-165,-50,-1.4486286977372436
Early,-165,-47.5,-0.9566161439378231
Early,-165,-45,-0.3761781675089164
Early,-165,-42.5,0.10453998318690103
Early,-165,-40,0.4722878123973725
Early,-165,-37.5,0.7874175281065272
Early,-165,-35,1.040233817041483
Early,-165,-32.5,1.1548783414119739
Early,-165,-30,1.1099603815007988
Early,-165,-27.5,1.0001175000399363
Early,-165,-25,0.8982940223277509
Early,-165,-22.5,0.7270455928759219
Early,-165,-20,0.3759455158253389
Early,-165,-17.5,-0.07749519949823122
Early,-165,-15,-0.37636629576050923
Early,-165,-12.5,-0.3641831964027149
Early,-165,-10,-0.16713377743978872
Early,-165,-7.5,-0.026901504459443414
Early,-165,-5,-0.020410993739345917
Early,-165,-2.5,-0.016256484161783026
Early,-165,0,0.10407383415419544
Early,-165,2.5,0.2914747377174781
Early,-165,5,0.39240732044032334
Early,-165,7.5,0.32393997213899495
Early,-165,10,0.15282291495672004
Early,-165,12.5,0.003812585066570273
Early,-165,15,-0.08698741846769731
Early,-165,17.5,-0.21326994676675728
Early,-165,20,-0.45964409684709606
Early,-165,22.5,-0.7428891228255438
Early,-165,25,-0.8569208483995054
Early,-165,27.5,-0.7136651086406678
Early,-165,30,-0.444892532351598
Early,-165,32.5,-0.19968731195623077
Early,-165,35,0.04193817146411227
Early,-165,37.5,0.35546119242697716
Early,-165,40,0.660920674429359
Early,-165,42.5,0.7898706093116835
Early,-165,45,0.7650450361614941
Early,-165,47.5,0.7763472072544338
Early,-165,50,0.8546122833314416
Early,-165,52.5,0.7622132905509786
Early,-165,55,0.34263163119413714
