phase,lon,lat,UWIND
Early,-162.5,-32.5,-0.8736718873975056
Early,-162.5,-30,-0.7384090771710805
Early,-162.5,-27.5,-0.6131254412102726
Early,-162.5,-25,-0.4244860248568776
Early,-162.5,-22.5,-0.1343186913133652
Early,-162.5,-20,0.13573211261884366
Early,-162.5,-17.5,0.262084378246149
Early,-162.5,-15,0.28736238500130085
Early,-162.5,-12.5,0.2878187361914825
Early,-162.5,-10,0.22699128443096372
Early,-162.5,-7.5,0.03411911100139371
Early,-162.5,-5,-0.2148007854629941
Early,-162.5,-2.5,-0.3850222688754588
Early,-162.5,0,-0.47050544225507146
Early,-162.5,2.5,-0.56198948512209
Early,-162.5,5,-0.6342152313721886
Early,-162.5,7.5,-0.5554294564477703
Early,-162.5,10,-0.33060117740206807
Early,-162.5,12.5,-0.15389020658074454
Early,-162.5,15,-0.17654944820131674
Early,-162.5,17.5,-0.3081430193429428
Early,-162.5,20,-0.34707051245095255
Early,-162.5,22.5,-0.220476476286236
Early,-162.5,25,-0.022631373881201143
Early,-162.5,27.5,0.1508845153180228
Early,-162.5,30,0.27819485446802383
Early,-162.5,32.5,0.36749380455584446
Early,-162.5,35,0.39567534725240094
Early,-162.5,37.5,0.3217030471098041
Early,-162.5,40,0.1509199540353501
Early,-162.5,42.5,-0.039145759417612065
Early,-162.5,45,-0.14542605945275078
Early,-162.5,47.5,-0.13958862440597125
Early,-162.5,50,-0.08964663172490926
Early,-162.5,52.5,-0.08812964191962283
Early,-162.5,55,-0.1269310264185438
Early,-162.5,57.5,-0.12412987176707825
Early,-162.5,60,-0.04360045004763651
Early,-162.5,62.5,0.046633449247853065
Early,-162.5,65,0.05915476417960608
Early,-162.5,67.5,-0.03323803071297574
Early,-162.5,70,-0.2210762322402052
Early,-162.5,72.5,-0.4642030270504218
Early,-162.5,75,-0.6723208134793205
Early,-162.5,77.5,-0.7207635855952789
Early,-162.5,80,-0.5613004681611765
Early,-162.5,82.5,-0.2824823042547631
Early,-162.5,85,-0.03773804467762353
Early,-162.5,87.5,0.10118014468088608
Early,-162.5,90,0.18144863081774482
Early,-160,-90,-0.487129600464448
Early,-160,-87.5,-0.3846123983671075
Early,-160,-85,-0.3560076697101543
Early,-160,-82.5,-0.34627441463664427
Early,-160,-80,-0.14092163058660678
Early,-160,-77.5,0.21164790666789668
Early,-160,-75,0.37053738597109237
Early,-160,-72.5,0.1530837602948297
Early,-160,-70,-0.1739556293411615
Early,-160,-67.5,-0.2141625036115608
Early,-160,-65,0.08255696485372217
Early,-160,-62.5,0.43649968221375846
Early,-160,-60,0.6648303327608612
Early,-160,-57.5,0.8318577419902717
Early,-160,-55,0.9790082154751149
Early,-160,-52.5,0.952979272137236
Early,-160,-50,0.6394639707642866
Early,-160,-47.5,0.19110522887896722
Early,-160,-45,-0.16653533675086105
Early,-160,-42.5,-0.42802647112329295
Early,-160,-40,-0.7048293545247177
Early,-160,-37.5,-0.9486720237833773
Early,-160,-35,-0.9953322540230918
Early,-160,-32.5,-0.8444156863907033
Early,-160,-30,-0.6620176829708599
Early,-160,-27.5,-0.5056293717117918
Early,-160,-25,-0.25967721480046224
Early,-160,-22.5,0.08938244767669098
Early,-160,-20,0.3456424157346894
Early,-160,-17.5,0.3758700825352238
Early,-160,-15,0.29906304652807736
Early,-160,-12.5,0.26396796379682785
Early,-160,-10,0.2179068306754316
Early,-160,-7.5,0.05171208980560206
Early,-160,-5,-0.1694499495534957
Early,-160,-2.5,-0.29826252806496584
Early,-160,0,-0.35188490298063063
Early,-160,2.5,-0.4588731725897116
Early,-160,5,-0.5837651748166189
Early,-160,7.5,-0.557363059708283
Early,-160,10,-0.35504499653282484
Early,-160,12.5,-0.18507189359290477
Early,-160,15,-0.2117517994009329
Early,-160,17.5,-0.35456716053911114
Early,-160,20,-0.4119799438456049
Early,-160,22.5,-0.3025081726990324
Early,-160,25,-0.08384266062518862
Early,-160,27.5,0.1467198970558317
Early,-160,30,0.33050708919658967
Early,-160,32.5,0.4376429444431274
Early,-160,35,0.4638013435570492
Early,-160,37.5,0.40837632588009354
Early,-160,40,0.25201196436811374
Early,-160,42.5,0.017730074946914698
Early,-160,45,-0.17773853894952804
Early,-160,47.5,-0.21984985792802814
Early,-160,50,-0.13975237750307318
Early,-160,52.5,-0.08248199529424996
Early,-160,55,-0.11324023475382722
Early,-160,57.5,-0.14199146571357057
Early,-160,60,-0.0811011034418367
Early,-160,62.5,0.01616724181195633
Early,-160,65,0.03760803600203436
Early,-160,67.5,-0.05590450930990803
Early,-160,70,-0.23194102451889154
Early,-160,72.5,-0.45486291121454037
Early,-160,75,-0.6630877575146886
Early,-160,77.5,-0.7334266025551631
Early,-160,80,-0.5873538812815011
Early,-160,82.5,-0.29559857801105655
Early,-160,85,-0.030726428780206795
Early,-160,87.5,0.10990864400239897
Early,-160,90,0.17638731619709783
Early,-157.5,-90,-0.48335182587482756
Early,-157.5,-87.5,-0.3708405671928869
Early,-157.5,-85,-0.3325401792474644
Early,-157.5,-82.5,-0.3313416645119779
Early,-157.5,-80,-0.16768224274182894
Early,-157.5,-77.5,0.13294464602953818
Early,-157.5,-75,0.2782164684562675
Early,-157.5,-72.5,0.11086255573568278
Early,-157.5,-70,-0.1462363596989263
Early,-157.5,-67.5,-0.1573861888075555
Early,-157.5,-65,0.12197952474777142
Early,-157.5,-62.5,0.4583589160638349
Early,-157.5,-60,0.6927574243162459
Early,-157.5,-57.5,0.8651590790129072
Early,-157.5,-55,0.9851844343517104
Early,-157.5,-52.5,0.9150276557388369
Early,-157.5,-50,0.5842266843212599
Early,-157.5,-47.5,0.15281429235718863
