phase,lon,lat,VwIND
Early,-160,-75,0.23647477381340506
Early,-160,-72.5,0.14868120303543061
Early,-160,-70,0.057600237128362985
Early,-160,-67.5,0.04042606619640335
Early,-160,-65,0.056832106511283176
Early,-160,-62.5,0.02875611040016498
Early,-160,-60,-0.03276016914963821
Early,-160,-57.5,-0.07111732023088686
Early,-160,-55,-0.08126732823776088
Early,-160,-52.5,-0.11078298134445778
Early,-160,-50,-0.1776284900106647
Early,-160,-47.5,-0.24211401233786428
Early,-160,-45,-0.264472629839634
Early,-160,-42.5,-0.26341639499238595
Early,-160,-40,-0.2736402424084293
Early,-160,-37.5,-0.29013471794156626
Early,-160,-35,-0.2796203162678198
Early,-160,-32.5,-0.24002756396270325
Early,-160,-30,-0.21636599594629363
Early,-160,-27.5,-0.23981289332457076
Early,-160,-25,-0.27659785127687875
Early,-160,-22.5,-0.2672949294825614
Early,-160,-20,-0.20825985485636228
Early,-160,-17.5,-0.15858097499144785
Early,-160,-15,-0.15131821487241204
Early,-160,-12.5,-0.12547954974691847
Early,-160,-10,-0.006957328497839016
Early,-160,-7.5,0.18016582210521212
Early,-160,-5,0.30757462568653915
Early,-160,-2.5,0.27890222624197336
Early,-160,0,0.1404403460102016
Early,-160,2.5,0.027825863226548807
Early,-160,5,0.013086443822448626
Early,-160,7.5,0.05239761750380394
Early,-160,10,0.07230215664713278
Early,-160,12.5,0.06839511627122573
Early,-160,15,0.09721054449891123
Early,-160,17.5,0.17901662138392382
Early,-160,20,0.2615414976832602
Early,-160,22.5,0.2933723350312091
Early,-160,25,0.2918450964322816
Early,-160,27.5,0.32927131006270777
Early,-160,30,0.43376922626329345
Early,-160,32.5,0.5486568738865355
Early,-160,35,0.5768468286574338
Early,-160,37.5,0.46772769012666576
Early,-160,40,0.2713790040395481
Early,-160,42.5,0.08920718998857852
Early,-160,45,-0.018515916004577988
Early,-160,47.5,-0.07390131464602562
Early,-160,50,-0.14683691589803266
Early,-160,52.5,-0.2609969425191693
Early,-160,55,-0.3703276719588572
Early,-160,57.5,-0.40831106269692646
Early,-160,60,-0.38308423493804045
Early,-160,62.5,-0.36572590312451064
Early,-160,65,-0.3696611395518543
Early,-160,67.5,-0.33098119790685526
Early,-160,70,-0.1816011988680414
Early,-160,72.5,0.02013393743739956
Early,-160,75,0.14209153065656377
Early,-160,77.5,0.11139268467301722
Early,-160,80,-0.00459767185104939
Early,-160,82.5,-0.08953282600266844
Early,-160,85,-0.0787011628117877
Early,-160,87.5,0.020616185157251575
Early,-160,90,0.15571739866943582
