phase,lon,lat,VwIND
Early,-172.5,-27.5,-0.25924485914100825
Early,-172.5,-25,-0.30872250081616237
Early,-172.5,-22.5,-0.30086451835039335
Early,-172.5,-20,-0.2555902252451819
Early,-172.5,-17.5,-0.17822622537881141
Early,-172.5,-15,-0.07502649430997634
Early,-172.5,-12.5,0.014956519701468437
Early,-172.5,-10,0.043657871940895494
Early,-172.5,-7.5,0.008994294083422926
Early,-172.5,-5,-0.024232804631524635
Early,-172.5,-2.5,0.004992291313727107
Early,-172.5,0,0.09579749768453602
Early,-172.5,2.5,0.18722369484885007
Early,-172.5,5,0.2245747281299008
Early,-172.5,7.5,0.22054636453924736
Early,-172.5,10,0.21201777151474166
Early,-172.5,12.5,0.19696040676441187
Early,-172.5,15,0.13169300750582558
Early,-172.5,17.5,0.004972978036658878
Early,-172.5,20,-0.12576701873204543
Early,-172.5,22.5,-0.18266288098395753
Early,-172.5,25,-0.1368320581971821
Early,-172.5,27.5,-0.011105230223811446
Early,-172.5,30,0.17142504882389137
Early,-172.5,32.5,0.39601736404212895
Early,-172.5,35,0.6295831888656278
Early,-172.5,37.5,0.8154041206798824
Early,-172.5,40,0.9255554535620839
Early,-172.5,42.5,0.9612888791384561
Early,-172.5,45,0.9056135241434325
Early,-172.5,47.5,0.7180352706669709
Early,-172.5,50,0.3933699856128977
Early,-172.5,52.5,0.025639484329296997
Early,-172.5,55,-0.24851284745525865
Early,-172.5,57.5,-0.33873154833985664
Early,-172.5,60,-0.25515303659580946
Early,-172.5,62.5,-0.07927097841116527
Early,-172.5,65,0.08901193163264545
Early,-172.5,67.5,0.18253699244532678
Early,-172.5,70,0.19340075819606448
Early,-172.5,72.5,0.14848195474710127
Early,-172.5,75,0.06285475089976257
Early,-172.5,77.5,-0.0638844909826055
Early,-172.5,80,-0.20329360991070675
Early,-172.5,82.5,-0.280850764037431
Early,-172.5,85,-0.23638020304201351
Early,-172.5,87.5,-0.10610794344936936
Early,-172.5,90,0.01307537073544467
Early,-170,-90,-0.1413684736847239
Early,-170,-87.5,-0.031807055891666366
Early,-170,-85,0.27322724138607046
Early,-170,-82.5,0.5334597020579044
Early,-170,-80,0.49453473329796593
Early,-170,-77.5,0.11663173595627277
Early,-170,-75,-0.3985356588807817
Early,-170,-72.5,-0.7749295045594189
Early,-170,-70,-0.888667309014252
Early,-170,-67.5,-0.8057710609423615
Early,-170,-65,-0.667648935058619
Early,-170,-62.5,-0.5494563674481039
Early,-170,-60,-0.4383272712889174
Early,-170,-57.5,-0.30523866529222404
Early,-170,-55,-0.14431082665667813
Early,-170,-52.5,0.044333059663938454
Early,-170,-50,0.22304188870499306
Early,-170,-47.5,0.32527935992558543
Early,-170,-45,0.2856444942188908
Early,-170,-42.5,0.1232573524794308
Early,-170,-40,-0.05135340427968234
Early,-170,-37.5,-0.1482384146060023
Early,-170,-35,-0.1761651729924668
Early,-170,-32.5,-0.20959722483707194
Early,-170,-30,-0.28124806672019054
Early,-170,-27.5,-0.3620709832299609
Early,-170,-25,-0.41741167243799515
Early,-170,-22.5,-0.44070949421491806
Early,-170,-20,-0.4279957846722073
Early,-170,-17.5,-0.35836079946747956
Early,-170,-15,-0.2222282367128046
Early,-170,-12.5,-0.08141419291098097
Early,-170,-10,-0.008240604071640439
Early,-170,-7.5,-0.012583200790894611
Early,-170,-5,-0.027240429525256016
Early,-170,-2.5,0.015150260060234382
Early,-170,0,0.09858194283563272
Early,-170,2.5,0.16977218890712567
Early,-170,5,0.2078801874356248
Early,-170,7.5,0.2439262310272273
Early,-170,10,0.29268547483072616
Early,-170,12.5,0.30319776375929447
Early,-170,15,0.21985093974440031
Early,-170,17.5,0.05039006353622661
Early,-170,20,-0.12397447177809533
Early,-170,22.5,-0.23831629430322895
Early,-170,25,-0.28889703393756916
Early,-170,27.5,-0.2833632279682693
Early,-170,30,-0.18804951128263092
Early,-170,32.5,0.02707261571053176
Early,-170,35,0.3284668880395417
Early,-170,37.5,0.6281875200457961
Early,-170,40,0.8569790891765745
Early,-170,42.5,0.9742520302046871
Early,-170,45,0.9405135846909043
Early,-170,47.5,0.7355471662239441
Early,-170,50,0.41269597351182047
Early,-170,52.5,0.09898722742780981
Early,-170,55,-0.10333760726486843
Early,-170,57.5,-0.16263851566214088
Early,-170,60,-0.09991578866805112
Early,-170,62.5,0.038346374792441774
Early,-170,65,0.18159704834788415
Early,-170,67.5,0.25077171921118263
Early,-170,70,0.22381318933574768
Early,-170,72.5,0.14375969682117057
Early,-170,75,0.05712375657568051
Early,-170,77.5,-0.04181808157410362
Early,-170,80,-0.15524992000022786
Early,-170,82.5,-0.22958196613045417
Early,-170,85,-0.20570005520267848
Early,-170,87.5,-0.09611678750517283
Early,-170,90,0.01335399746758827
Early,-167.5,-90,-0.1069125915537013
Early,-167.5,-87.5,0.013159953411620018
Early,-167.5,-85,0.3186622334462751
Early,-167.5,-82.5,0.5510672149667626
Early,-167.5,-80,0.4559461540738279
Early,-167.5,-77.5,0.019042191078740677
Early,-167.5,-75,-0.5180158852729685
Early,-167.5,-72.5,-0.8718099330292588
Early,-167.5,-70,-0.9407914930581806
Early,-167.5,-67.5,-0.8305475788474881
Early,-167.5,-65,-0.6845151276751238
Early,-167.5,-62.5,-0.5553612134298546
Early,-167.5,-60,-0.41559082443573764
Early,-167.5,-57.5,-0.25833667814772887
Early,-167.5,-55,-0.1053121205272665
Early,-167.5,-52.5,0.029935648228454334
Early,-167.5,-50,0.1347390069660813
Early,-167.5,-47.5,0.17069854725694877
Early,-167.5,-45,0.09084645091975053
