phase,lon,lat,mean_anomaly
Early,-172.5,27.5,-0.7016935402404272
Early,-172.5,30,-0.7619258390352741
Early,-172.5,32.5,-0.7104417807100674
Early,-172.5,35,-0.5834387015312927
Early,-172.5,37.5,-0.46827766373421015
Early,-172.5,40,-0.364729993482905
Early,-172.5,42.5,-0.2186806288697028
Early,-172.5,45,0.010687699576067189
Early,-172.5,47.5,0.31920559628475187
Early,-172.5,50,0.6038441430432726
Early,-172.5,52.5,0.7517036738354023
Early,-172.5,55,0.8698717497554128
Early,-172.5,57.5,0.9133399560120722
Early,-172.5,60,0.7305959840326295
Early,-172.5,62.5,0.4753752036496223
Early,-172.5,65,0.2389649723038872
Early,-172.5,67.5,0.05300405669606221
Early,-172.5,70,-0.179771448354154
Early,-172.5,72.5,-0.4995847100031881
Early,-172.5,75,-0.60418874226155594
Early,-172.5,77.5,-0.6014247067452402
Early,-172.5,80,-0.6785645487128533
Early,-172.5,82.5,-0.8575140843924999
Early,-172.5,85,-0.9844307917891968
Early,-172.5,87.5,-0.9072131557513672
Early,-172.5,90,-0.7455440127081658
Early,-170,-90,0.9506777370477948
Early,-170,-87.5,0.8042085288367276
Early,-170,-85,1.5302338139458982
Early,-170,-82.5,1.6184808243728868
Early,-170,-80,2.182582706093109
Early,-170,-77.5,2.42657274356464
Early,-170,-75,1.8867828119909404
Early,-170,-72.5,1.0272572662105517
Early,-170,-70,0.3560540811339877
Early,-170,-67.5,0.12098627403069032
Early,-170,-65,-0.07894714076238643
Early,-170,-62.5,-0.3698567448679569
Early,-170,-60,-0.7497065656564871
Early,-170,-57.5,-0.9606675708698674
Early,-170,-55,-1.05427767187997
Early,-170,-52.5,-1.0222946399473585
Early,-170,-50,-0.8696885793420904
Early,-170,-47.5,-0.663289939719823
Early,-170,-45,-0.42286834473750334
Early,-170,-42.5,-0.24923073476701346
Early,-170,-40,-0.17110954708330722
Early,-170,-37.5,-0.18093324372700864
Early,-170,-35,-0.21423451450038442
Early,-170,-32.5,-0.2669271749756092
Early,-170,-30,-0.3324293499509906
Early,-170,-27.5,-0.3558740876502725
Early,-170,-25,-0.3386588302376424
Early,-170,-22.5,-0.32115701368527994
Early,-170,-20,-0.31856000325906847
Early,-170,-17.5,-0.28503238839994083
Early,-170,-15,-0.27070900130401016
Early,-170,-12.5,-0.2716789426521757
Early,-170,-10,-0.27844128380608024
Early,-170,-7.5,-0.2938328771585986
Early,-170,-5,-0.29609297816915614
Early,-170,-2.5,-0.2938345063529312
Early,-170,0,-0.27715645161252384
Early,-170,2.5,-0.24744853372420722
Early,-170,5,-0.23327419354860127
Early,-170,7.5,-0.2217708699896491
Early,-170,10,-0.23145149071395962
Early,-170,12.5,-0.2761606549360863
Early,-170,15,-0.33427267025106744
Early,-170,17.5,-0.3955123981761119
Early,-170,20,-0.47191490713656775
Early,-170,22.5,-0.5690508553265488
Early,-170,25,-0.6744617953731563
Early,-170,27.5,-0.7931886037792367
Early,-170,30,-0.8799000896053257
Early,-170,32.5,-0.8504679048559012
Early,-170,35,-0.7285864613880847
Early,-170,37.5,-0.6136382290655262
Early,-170,40,-0.49221366080122947
Early,-170,42.5,-0.34410474910426386
Early,-170,45,-0.131207144020658
Early,-170,47.5,0.16207440534399212
Early,-170,50,0.44688552460119696
Early,-170,52.5,0.6613094411868644
Early,-170,55,0.8741554252198455
Early,-170,57.5,0.9184442978167965
Early,-170,60,0.7412988595633976
Early,-170,62.5,0.5350974747472265
Early,-170,65,0.3019368198108509
Early,-170,67.5,0.08769222059310096
Early,-170,70,-0.1566621456494886
Early,-170,72.5,-0.4782297246654423
Early,-170,75,-0.5982508553283139
Early,-170,77.5,-0.6038219534055542
Early,-170,80,-0.6926284701855195
Early,-170,82.5,-0.8764308569566595
Early,-170,85,-0.9970812561091862
Early,-170,87.5,-0.9092756924078514
Early,-170,90,-0.7455440127081658
Early,-167.5,-90,0.9506777370477948
Early,-167.5,-87.5,0.8322251303353767
Early,-167.5,-85,1.5408702264582188
Early,-167.5,-82.5,1.6131722955359578
Early,-167.5,-80,2.177578388725931
Early,-167.5,-77.5,2.3886975399152903
Early,-167.5,-75,1.8302351091561149
Early,-167.5,-72.5,0.9461578282828554
Early,-167.5,-70,0.29599014336926077
Early,-167.5,-67.5,0.08900249266857826
Early,-167.5,-65,-0.08897372922767204
Early,-167.5,-62.5,-0.3947061013360155
Early,-167.5,-60,-0.7588356386446151
Early,-167.5,-57.5,-0.9651726132290832
Early,-167.5,-55,-1.0776733463667654
Early,-167.5,-52.5,-1.0398916748127305
Early,-167.5,-50,-0.8688323476703829
Early,-167.5,-47.5,-0.6391024926681268
Early,-167.5,-45,-0.40445058651067145
Early,-167.5,-42.5,-0.2541377321602738
Early,-167.5,-40,-0.17242970022811618
Early,-167.5,-37.5,-0.1579022727278357
Early,-167.5,-35,-0.1678836917565718
Early,-167.5,-32.5,-0.22296025578343687
Early,-167.5,-30,-0.3068698191586009
Early,-167.5,-27.5,-0.3485016862178327
Early,-167.5,-25,-0.36811748126502836
Early,-167.5,-22.5,-0.3788521261001222
Early,-167.5,-20,-0.37379798794490854
Early,-167.5,-17.5,-0.33151869501553505
Early,-167.5,-15,-0.29382169273439446
Early,-167.5,-12.5,-0.26984489247262217
Early,-167.5,-10,-0.27099944607322185
Early,-167.5,-7.5,-0.2821965542526129
Early,-167.5,-5,-0.2772032828284011
Early,-167.5,-2.5,-0.26927305311185706
Early,-167.5,0,-0.24194024926750898
Early,-167.5,2.5,-0.2146022075602218
Early,-167.5,5,-0.20527855979109405
Early,-167.5,7.5,-0.206089198436581
Early,-167.5,10,-0.22701077712634402
Early,-167.5,12.5,-0.2733760997068714
Early,-167.5,15,-0.34377621375043077
Early,-167.5,17.5,-0.42142249918549624
Early,-167.5,20,-0.5100128706417422
Early,-167.5,22.5,-0.6199235988919668
Early,-167.5,25,-0.7438443629854532
Early,-167.5,27.5,-0.85449431410878
Early,-167.5,30,-0.9424252525252996
Early,-167.5,32.5,-0.9455881638968379
Early,-167.5,35,-0.8463926930591696
Early,-167.5,37.5,-0.737313856305235
Early,-167.5,40,-0.6022094167477462
Early,-167.5,42.5,-0.42842264581296946
