phase,lon,lat,mean_anomaly
Early,-170,-15,0.3336022890189952
Early,-170,-12.5,0.26108234767032173
Early,-170,-10,0.22671597425892287
Early,-170,-7.5,0.20655475725040445
Early,-170,-5,0.18112207559483978
Early,-170,-2.5,0.16001791300105878
Early,-170,0,0.12678172043048902
Early,-170,2.5,0.09052565982378838
Early,-170,5,0.07465537634490146
Early,-170,7.5,0.06388450635384402
Early,-170,10,0.07398641251253366
Early,-170,12.5,0.151152517106442
Early,-170,15,0.26041442652343105
Early,-170,17.5,0.3886599136529014
Early,-170,20,0.5322815982404109
Early,-170,22.5,0.6834752199409365
Early,-170,25,0.8414110540903437
Early,-170,27.5,1.001429138155754
Early,-170,30,1.1365378136191737
Early,-170,32.5,1.1462315575111064
Early,-170,35,0.9740086999024186
Early,-170,37.5,0.6942523623324576
Early,-170,40,0.3953715542522559
Early,-170,42.5,0.14725788530423073
Early,-170,45,-0.09151897197865537
Early,-170,47.5,-0.29167344411850993
Early,-170,50,-0.4230564108828048
Early,-170,52.5,-0.6824919029006367
Early,-170,55,-1.0195077468231433
Early,-170,57.5,-1.0559895731511915
Early,-170,60,-0.8030325920491009
Early,-170,62.5,-0.4878802134247621
Early,-170,65,-0.19830887911315925
Early,-170,67.5,-0.023818800912397364
Early,-170,70,0.10760075757500545
Early,-170,72.5,0.1509667807100527
Early,-170,75,-0.13232854349931245
Early,-170,77.5,-0.5383421146945636
Early,-170,80,-0.7255491691105135
Early,-170,82.5,-0.7416617709356558
Early,-170,85,-0.7851183528848139
Early,-170,87.5,-0.8862845633758638
Early,-170,90,-0.983428958944188
Early,-167.5,-90,0.25773983382282495
Early,-167.5,-87.5,0.2883264744223652
Early,-167.5,-85,-0.4849977842948249
Early,-167.5,-82.5,-0.12292205930259001
Early,-167.5,-80,-0.29658505213418496
Early,-167.5,-77.5,-0.6549193955685724
Early,-167.5,-75,-0.6166178478332256
Early,-167.5,-72.5,-0.22013518246989178
Early,-167.5,-70,0.21431164874551314
